espn_id,name,full_name,jersey,position,position_name,height,weight,age,team_name,team_abbr,headshot_url,experience_years,salary,years_remaining,draft_year,draft_round,draft_selection
4278039,Nickeil Alexander-Walker,Nickeil Alexander-Walker,7,G,Guard,"6' 5""",205 lbs,28.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4278039.png,7.0,14403710.0,3.0,2019.0,1.0,17.0
4431691,Will Baker,Will Baker,9,C,Center,"7' 0""",245 lbs,25.0,Atlanta Hawks,ATL,,0.0,,,,,
4869342,Dyson Daniels,Dyson Daniels,5,G,Guard,"6' 7""",199 lbs,23.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4869342.png,4.0,25000000.0,4.0,2022.0,1.0,8.0
4431941,RayJ Dennis,RayJ Dennis,10,G,Guard,"6' 2""",180 lbs,25.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4431941.png,2.0,,,,,
4397020,Luguentz Dort,Luguentz Dort,0,G,Guard,"6' 4""",220 lbs,27.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4397020.png,7.0,18222222.0,1.0,,,
5106262,Zuby Ejiofor,Zuby Ejiofor,20,F,Forward,"6' 8""",245 lbs,22.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/5106262.png,0.0,,,2026.0,1.0,23.0
5149077,Kingston Flemings,Kingston Flemings,4,G,Guard,"6' 3""",183 lbs,19.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/5149077.png,0.0,,,2026.0,1.0,8.0
4585618,Keshon Gilbert,Keshon Gilbert,51,G,Guard,"6' 4""",200 lbs,23.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4585618.png,1.0,,,,,
4712863,Mouhamed Gueye,Mouhamed Gueye,18,F,Forward,"6' 11""",210 lbs,23.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4712863.png,3.0,2406205.0,1.0,2023.0,2.0,39.0
2990984,Buddy Hield,Buddy Hield,8,G,Guard,"6' 4""",220 lbs,33.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/2990984.png,10.0,9658536.0,2.0,2016.0,1.0,6.0
4701230,Jalen Johnson,Jalen Johnson,1,F,Forward,"6' 8""",219 lbs,24.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4701230.png,5.0,30000000.0,4.0,2021.0,1.0,20.0
4280151,Corey Kispert,Corey Kispert,24,F,Forward,"6' 6""",224 lbs,27.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4280151.png,5.0,13975000.0,3.0,2021.0,1.0,15.0
3146557,Jock Landale,Jock Landale,31,C,Center,"6' 11""",255 lbs,30.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/3146557.png,5.0,,,,,
2490149,CJ McCollum,CJ McCollum,3,G,Guard,"6' 3""",190 lbs,34.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/2490149.png,13.0,21000000.0,1.0,2013.0,1.0,10.0
4433629,Ryan Nembhard,Ryan Nembhard,19,G,Guard,"5' 11""",180 lbs,23.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4433629.png,1.0,,,,,
4873201,Asa Newell,Asa Newell,14,F,Forward,"6' 11""",224 lbs,20.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4873201.png,1.0,3399480.0,3.0,2025.0,1.0,23.0
4431680,Onyeka Okongwu,Onyeka Okongwu,17,F,Forward,"6' 10""",240 lbs,25.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4431680.png,6.0,16120000.0,2.0,2020.0,1.0,6.0
5105571,Henri Veesaar,Henri Veesaar,13,C,Center,"7' 0""",227 lbs,22.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/5105571.png,0.0,,,2026.0,2.0,52.0
4397183,Aaron Wiggins,Aaron Wiggins,2,G,Guard,"6' 5""",190 lbs,27.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4397183.png,5.0,9224300.0,3.0,2021.0,2.0,55.0
4431714,Jalen Wilson,Jalen Wilson,12,F,Forward,"6' 6""",220 lbs,25.0,Atlanta Hawks,ATL,https://a.espncdn.com/i/headshots/nba/players/full/4431714.png,3.0,,,2023.0,2.0,51.0
5142621,Chris Cenac Jr.,Chris Cenac Jr.,12,F,Forward,"6' 11""",240 lbs,19.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/5142621.png,0.0,,,2026.0,1.0,27.0
3195,Mike Conley,Mike Conley,45,G,Guard,"6' 1""",175 lbs,38.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/3195.png,19.0,,,2007.0,1.0,4.0
4277951,Luka Garza,Luka Garza,52,C,Center,"6' 10""",243 lbs,27.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4277951.png,5.0,2801346.0,1.0,2021.0,2.0,52.0
4251,Paul George,Paul George,13,F,Forward,"6' 8""",220 lbs,36.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4251.png,16.0,54126380.0,2.0,2010.0,1.0,10.0
5175647,Hugo Gonzalez,Hugo Gonzalez,28,G,Guard,"6' 6""",205 lbs,20.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/5175647.png,1.0,2923560.0,3.0,2025.0,1.0,28.0
4397251,Ron Harper Jr.,Ron Harper Jr.,8,G,Guard,"6' 5""",233 lbs,26.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4397251.png,4.0,2538126.0,3.0,,,
4065804,Sam Hauser,Sam Hauser,30,F,Forward,"6' 7""",217 lbs,28.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4065804.png,5.0,10848241.0,3.0,,,
5106283,Dillon Mitchell,Dillon Mitchell,,F,Forward,"6' 8""",210 lbs,22.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/5106283.png,0.0,,,2026.0,2.0,40.0
4066354,Payton Pritchard,Payton Pritchard,11,G,Guard,"6' 1""",195 lbs,28.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4066354.png,6.0,7767857.0,2.0,2020.0,1.0,26.0
4397424,Neemias Queta,Neemias Queta,88,C,Center,"7' 0""",248 lbs,27.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4397424.png,5.0,2667944.0,1.0,2021.0,2.0,39.0
4351852,Mitchell Robinson,Mitchell Robinson,4,C,Center,"7' 0""",240 lbs,28.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4351852.png,8.0,,,2018.0,2.0,36.0
4593841,Baylor Scheierman,Baylor Scheierman,55,G,Guard,"6' 6""",205 lbs,25.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4593841.png,2.0,2744040.0,2.0,2024.0,1.0,30.0
4065648,Jayson Tatum,Jayson Tatum,0,F,Forward,"6' 8""",210 lbs,28.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4065648.png,9.0,58456566.0,4.0,2017.0,1.0,3.0
4683689,Jordan Walsh,Jordan Walsh,27,G,Guard,"6' 6""",205 lbs,22.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4683689.png,3.0,2406205.0,1.0,2023.0,2.0,38.0
3078576,Derrick White,Derrick White,9,G,Guard,"6' 4""",190 lbs,32.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/3078576.png,9.0,30348001.0,3.0,2017.0,1.0,29.0
4702745,Amari Williams,Amari Williams,77,F,Forward,"7' 0""",262 lbs,24.0,Boston Celtics,BOS,https://a.espncdn.com/i/headshots/nba/players/full/4702745.png,1.0,,,2025.0,2.0,46.0
5105626,Tyler Bilodeau,Tyler Bilodeau,34,F,Forward,"6' 8""",228 lbs,22.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5105626.png,0.0,,,2026.0,2.0,43.0
4066450,Armoni Brooks,Armoni Brooks,13,G,Guard,"6' 3""",195 lbs,28.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4066450.png,2.0,,,,,
5101761,Mikel Brown Jr.,Mikel Brown Jr.,0,G,Guard,"6' 5""",180 lbs,20.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5101761.png,0.0,,,2026.0,1.0,6.0
4712896,Noah Clowney,Noah Clowney,21,F,Forward,"6' 10""",210 lbs,22.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4712896.png,3.0,5414034.0,1.0,2023.0,1.0,21.0
5175643,Egor Demin,Egor Demin,8,G,Guard,"6' 8""",200 lbs,20.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5175643.png,1.0,7233720.0,3.0,2025.0,1.0,8.0
4702177,Keon Ellis,Keon Ellis,,G,Guard,"6' 4""",175 lbs,26.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4702177.png,4.0,,,,,
